CODINST;NOMBREINSTITUCION;CODIGOMUNICIPIO;NOMBREMUNICIPIO;DEPARTAMENTO;CALENDARIO;NATURALEZA;JORNADA;EVALUADOS;PROMLECTURACRITICA;PROMMATEMATICA;PROMSOCIALESYCIUDADANAS;PROMCIENCIASNATURALES;PROMINGLES;DESVLECTURACRITICA;DESVMATEMATICA;DESVSOCIALESYCIUDADANAS;DESVCIENCIASNATURALES;DESVINGLES;PERIODO
59;INST EDUC CEFA;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;968;57,75;54,95;55,45;56,15;55,33;8,05;9;8,44;7,63;9,91;20162
75;INST EDUC SANTOS ANGELES CUSTODIOS;5001;MEDELLIN;ANTIOQUIA;A;OFICIAL;MANANA;49;52,46;46,57;49,14;50,32;54,65;8,43;8,73;10,52;7,98;10,68;20162
83;COL BARBARA MICARELLI;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;30;63,43;60,26;61,73;60,9;62,86;6,26;7,42;6,82;5,92;8,18;20162
91;COL BETHLEMITAS;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;69;64,76;65,02;63,91;63,91;75,59;6,87;7,07;5,48;7,29;8,54;20162
125;COL CALASANZ FEMENINO;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;66;64,3;62,46;61,18;61,46;65,95;7,21;8,64;7,93;5,88;10,49;20162
141;COL CALASANZ;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;83;65,66;69,14;65,79;68,24;75,73;7,81;7,61;7,07;7,57;8,76;20162
174;COL CORAZONISTA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;109;68,4;69,77;67,3;69,35;76,23;6,51;6,54;6,18;7;7,1;20162
190;COL DE LA COMPANIA DE MARIA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;102;68,64;72,35;69,5;69,38;78,45;5,86;6,83;4,94;4,98;9,22;20162
208;COL DE LA PRESENTACION - MEDELLIN;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;64;62,85;58,04;59,53;59,4;67,34;8,95;7,34;8,76;9,44;12,89;20162
216;COL DE MARIA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;16;63,25;60,43;62,43;59,18;67,75;7,24;9,04;7,9;8,32;15;20162
232;COL EUCARISTICO DE LA MILAGROSA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;53;57,41;56,83;54,83;56,83;61,9;8,05;7,62;7,64;6,03;10,97;20162
240;INST FERRINI - SEDE ROBLEDO;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;90;60,65;59,15;59,07;58,32;64,75;7,93;9,46;9,17;8,52;12,66;20162
265;INST FERRINI - SEDE CALASANZ;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;TARDE;198;50,88;46,59;47,86;48,26;51,74;9,26;10,23;10,27;8,86;10,84;20162
281;COMUNIDAD COLEGIO DE JESUS MARIA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;65;67,75;71,7;67,67;68,33;80,12;7,05;9,19;8,09;6,43;10,05;20162
315;COL DE LA INMACULADA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;MANANA;90;61,97;59,96;61,61;59,95;65,43;8,52;9,69;6,91;7,6;12,98;20162
356;COL MADRE ANTONIA CERINI;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;30;56,96;55,7;58,43;57,06;64,83;7,43;9,94;9,1;7;9,64;20162
364;COL MARIA AUXILIADORA;5001;MEDELLIN;ANTIOQUIA;A;NO OFICIAL;COMPLETA;51;67,33;66,76;66,84;65,94;75,29;6,72;8,42;6,65;7,39;10,79;20162
